Sun Sep 13 05:35:43 Mongo DB : starting : pid = 3215 port = 27017 dbpath = data master = 0 slave = 0  32-bit 

** NOTE: when using MongoDB 32 bit, you are limited to about 2 gigabytes of data
**       see http://blog.mongodb.org/post/137788967/32-bit-limitations for more

Sun Sep 13 05:35:43 db version v1.1.0-, pdfile version 4.5
Sun Sep 13 05:35:43 git version: 8d07d50c48f76617b1a43d9e96efd47c890f6e8e
Sun Sep 13 05:35:43 sys info: Linux netbeams-dev 2.6.28-11-generic #42-Ubuntu SMP Fri Apr 17 01:57:59 UTC 2009 i686
Sun Sep 13 05:35:43 waiting for connections on port 27017
Sun Sep 13 05:38:15 connection accepted from 127.0.0.1:46488 #1
Sun Sep 13 05:38:15 allocating new datafile data/netbeams.ns, filling with zeroes...
Sun Sep 13 05:38:15 done allocating datafile data/netbeams.ns, size: 16777216, took 0.26 secs
Sun Sep 13 05:38:15 allocating new datafile data/netbeams.0, filling with zeroes...
Sun Sep 13 05:38:16 done allocating datafile data/netbeams.0, size: 67108864, took 0.917 secs
Sun Sep 13 05:38:16 building new index on { _id: ObjId(000000000000000000000000) } for netbeams.SondeDataContainer...done for 0 records
Sun Sep 13 05:38:15 insert netbeams.SondeDataContainer 1182ms
Sun Sep 13 05:38:16 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:16 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:16 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:16 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:17 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:18 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:18 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:18 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:18 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:18 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:18 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:18 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:18 insert netbeams.SondeDataContainer 0ms
Sun Sep 13 05:38:18 insert netbeams.SondeDataContainer 0ms
