Sat Sep 12 16:27:58 Mongo DB : starting : pid = 3588 port = 27017 dbpath = persistence/data master = 0 slave = 0  32-bit 

** NOTE: when using MongoDB 32 bit, you are limited to about 2 gigabytes of data
**       see http://blog.mongodb.org/post/137788967/32-bit-limitations for more

Sat Sep 12 16:27:58 db version v1.0.0, pdfile version 4.4
Sat Sep 12 16:27:58 git version: afe21e02c11f9a923ab1c95edf6fdd95b9a4a51e
Sat Sep 12 16:27:58 sys info: Linux domU-12-31-39-01-70-B4 2.6.21.7-2.fc8xen #1 SMP Fri Feb 15 12:39:36 EST 2008 i686
Sat Sep 12 16:27:58 waiting for connections on port 27017
Sat Sep 12 16:27:58 web admin interface listening on port 28017
Sat Sep 12 16:29:10 connection accepted from 127.0.0.1:39643 #1
Sat Sep 12 16:33:30 connection accepted from 127.0.0.1:23766 #2
Sat Sep 12 16:33:30 allocating new datafile persistence/data/netbeams.ns, filling with zeroes...
Sat Sep 12 16:33:30 done allocating datafile persistence/data/netbeams.ns, size: 16777216, took 0.017 secs
Sat Sep 12 16:33:30 allocating new datafile persistence/data/netbeams.0, filling with zeroes...
Sat Sep 12 16:33:31 done allocating datafile persistence/data/netbeams.0, size: 67108864, took 0.625 secs
Sat Sep 12 16:33:31 building new index on { _id: ObjId(000000000000000000000000) } for netbeams.ysi...done for 0 records
Sat Sep 12 16:33:30 insert netbeams.ysi 646ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:31 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:32 insert netbeams.ysi 0ms
Sat Sep 12 16:33:33 insert netbeams.ysi -1ms
Sat Sep 12 16:33:33 insert netbeams.ysi 0ms
Sat Sep 12 16:33:33 insert netbeams.ysi 0ms
Sat Sep 12 16:33:33 insert netbeams.ysi 0ms
Sat Sep 12 16:33:33 insert netbeams.ysi -1ms
Sat Sep 12 16:33:33 insert netbeams.ysi 0ms
Sat Sep 12 16:33:33 insert netbeams.ysi -1ms
Sat Sep 12 16:33:33 insert netbeams.ysi 0ms
Sat Sep 12 16:33:33 insert netbeams.ysi -1ms
Sat Sep 12 16:33:33 insert netbeams.ysi 0ms
Sat Sep 12 16:33:33 insert netbeams.ysi -1ms
